dataset,model,appendix,split,lr,attn_dropout,n,HR@10_mean,HR@10_std,NDCG@10_mean,NDCG@10_std
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,dev,0.0005,0.0,1,0.36085,0.021849599538664347,0.1891,0.020223253941935252
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,test,0.0005,0.0,1,0.3246,0.027860007178749965,0.17245,0.012940054095713827
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,dev,0.0005,0.1,1,0.4328,0.146229682349378,0.23305,0.09001469324504752
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,test,0.0005,0.1,1,0.40035,0.12438008281071371,0.2215,0.07382194795587556
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,dev,0.0005,0.2,1,0.43655,0.1499773482896667,0.23274999999999998,0.08888332239514901
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,test,0.0005,0.2,1,0.4062,0.1342088670692067,0.22245,0.07573113626507925
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,dev,0.001,0.0,3,0.6113999999999999,0.010827742146911366,0.3432,0.015617938404283724
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,test,0.001,0.0,3,0.5554250000000001,0.01858715954631047,0.31515,0.013453252394867207
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,dev,0.001,0.1,1,0.597,0.0,0.3229,0.0
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,test,0.001,0.1,1,0.5277,0.0,0.2969,0.0
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,dev,0.001,0.2,1,0.5426,0.07990306627407986,0.29515,0.04970960671741427
MovieLens_100K,FuXiAlpha,_fuxi_sweep_e10s0_20251218,test,0.001,0.2,1,0.4888,0.0656195092941116,0.27455,0.040092954493277246
