model,dataset,variant,split,n,HR@10_mean,NDCG@10_mean,HR@20_mean,NDCG@20_mean,HR@10_std,NDCG@10_std,HR@20_std,NDCG@20_std
BPRMF,Grocery_and_Gourmet_Food,default,dev,1,0.2994,0.1615,0.3921,0.1849,0.0,0.0,0.0,0.0
BPRMF,Grocery_and_Gourmet_Food,default,test,1,0.2819,0.1404,0.3782,0.1645,0.0,0.0,0.0,0.0
FuXiAlpha,Grocery_and_Gourmet_Food,pos1_time1_latent1_ssffn0,dev,3,0.46597500000000003,0.2788,0.5815250000000001,0.308,0.034161027989996616,0.03325547573959311,0.03710879275859027,0.033950650460140896
FuXiAlpha,Grocery_and_Gourmet_Food,pos1_time1_latent1_ssffn0,test,3,0.42015,0.24280000000000002,0.536575,0.272175,0.035393926032583595,0.02876143250952566,0.036460240902477126,0.02896933723784512
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos0_time1_latent1_ssffn0,dev,3,0.5045666666666667,0.31903333333333334,0.6241666666666666,0.3491666666666666,0.007112196097783944,0.008889506922958873,0.007943131204590129,0.009029027263960017
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos0_time1_latent1_ssffn0,test,3,0.46026666666666666,0.2818333333333333,0.5823333333333333,0.3126,0.0072665902136650785,0.00895339786524274,0.0072417769458423265,0.008819863944528848
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time0_latent1_ssffn0,dev,3,0.5021333333333333,0.31903333333333334,0.6237666666666667,0.3496666666666666,0.0048263167460635146,0.011386980869981881,0.00845714687902094,0.012773540360187281
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time0_latent1_ssffn0,test,3,0.46246666666666664,0.28276666666666667,0.5862333333333333,0.3139,0.00470141822574139,0.01302702319539401,0.004140450861118058,0.012758918449461138
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time1_latent1_ssffn0,dev,3,0.5071,0.32076666666666664,0.6305333333333333,0.35180000000000006,0.002193171219946107,0.006853709457901839,0.0019502136635080247,0.006615889962809217
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time1_latent1_ssffn0,test,3,0.4691,0.28623333333333334,0.5919333333333333,0.3172,0.004942671342502947,0.00812793536719709,0.005052062285179543,0.008116649555081207
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time1_latent1_ssffn0_noams,dev,3,0.4982333333333333,0.30996666666666667,0.6194333333333333,0.3405,0.0037447741364912256,0.0015947831618541072,0.005293706955747893,0.0017435595774162875
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time1_latent1_ssffn0_noams,test,3,0.45283333333333337,0.2715,0.576,0.3025,0.003496188400720602,0.0010535653752852712,0.003104834939251999,0.0016370705543745099
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time1_latent1_ssffn1,dev,3,0.5083666666666667,0.32739999999999997,0.6275000000000001,0.35746666666666665,0.002254624876411478,0.004158124577258345,0.0059808026217222435,0.0050332229568471705
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,pos1_time1_latent1_ssffn1,test,3,0.46773333333333333,0.28933333333333333,0.5913666666666667,0.32043333333333335,0.005928181283777781,0.0067722472882591495,0.007579797710581256,0.007092484285025464
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,pos1_time1_latent1_ssffn0,dev,3,0.5071,0.32076666666666664,0.6305333333333333,0.35180000000000006,0.002193171219946107,0.006853709457901839,0.0019502136635080247,0.006615889962809217
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_cmp,pos1_time1_latent1_ssffn0,test,3,0.4691,0.28623333333333334,0.5919333333333333,0.3172,0.004942671342502947,0.00812793536719709,0.005052062285179543,0.008116649555081207
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,pos1_time1_latent1_ssffn0,dev,1,0.49927499999999997,0.314925,0.61905,0.34505,0.005741297762701371,0.0037411005510856465,0.007719024117939614,0.004343961325794694
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_sweep_h50_ep30_v2,pos1_time1_latent1_ssffn0,test,1,0.457,0.2773,0.5827249999999999,0.308925,0.009015911859965503,0.004918671907469877,0.011573641028935827,0.005801939330947877
FuXiAlpha,Grocery_ep50_h50,pos1_time1_latent1_ssffn0,dev,1,0.0469,0.0231,0.0736,0.0298,0.0,0.0,0.0,0.0
FuXiAlpha,Grocery_ep50_h50,pos1_time1_latent1_ssffn0,test,1,0.0323,0.0153,0.0564,0.0214,0.0,0.0,0.0,0.0
FuXiAlpha,ML1M_ep50,pos1_time1_latent1_ssffn0,dev,1,0.1649,0.0861,0.2632,0.1109,0.0,0.0,0.0,0.0
FuXiAlpha,ML1M_ep50,pos1_time1_latent1_ssffn0,test,1,0.1506,0.0764,0.2423,0.0995,0.0,0.0,0.0,0.0
FuXiAlpha,MovieLens_100K,pos1_time1_latent1_ssffn0,dev,3,0.4727444444444444,0.25597777777777775,0.6535333333333333,0.30163333333333336,0.1394217801413315,0.08674627913890282,0.13036951330736798,0.08470131344908413
FuXiAlpha,MovieLens_100K,pos1_time1_latent1_ssffn0,test,3,0.43224444444444443,0.24081111111111111,0.6145333333333334,0.28700000000000003,0.1223772968232988,0.07402946110239565,0.12481214884777841,0.07477676778251384
FuXiAlpha,MovieLens_100K_fuxi_sweep_e10s0_20251218,pos1_time1_latent1_ssffn0,dev,1,0.54225,0.29645,0.7178666666666667,0.34099999999999997,0.08650042196428867,0.04820110994572635,0.06863429657734291,0.04381794153083872
FuXiAlpha,MovieLens_100K_fuxi_sweep_e10s0_20251218,pos1_time1_latent1_ssffn0,test,1,0.48933333333333334,0.27243333333333336,0.6701833333333332,0.3183166666666667,0.07383307298674942,0.04638317223591618,0.07234709162548737,0.046117693639932456
FuXiAlpha,MovieLens_100K_fuxi_sweep_pathfix_test,pos1_time1_latent1_ssffn0,dev,1,0.323,0.1638,0.5107,0.2109,0.0,0.0,0.0,0.0
FuXiAlpha,MovieLens_100K_fuxi_sweep_pathfix_test,pos1_time1_latent1_ssffn0,test,1,0.3092,0.1656,0.4819,0.209,0.0,0.0,0.0,0.0
FuXiAlpha,MovieLens_1M,pos1_time1_latent1_ssffn0,dev,3,0.677975,0.424875,0.8233,0.461675,0.1463939291774082,0.13750360904354475,0.0907126966489991,0.12349311384310732
FuXiAlpha,MovieLens_1M,pos1_time1_latent1_ssffn0,test,3,0.64805,0.40345,0.7929999999999999,0.4401,0.14009171995517797,0.1289991860439437,0.09437838735642816,0.11768256738645136
FuXiAlpha,MovieLens_1M_ep50,pos1_time1_latent1_ssffn0,dev,3,0.8153,0.5663666666666667,0.9051666666666667,0.5891666666666667,0.0013892443989449554,0.0032868424564212353,0.0009291573243177621,0.0030892285984260416
