model,dataset,seed,variant,split,run_id,log_path,hparams,HR@10,HR@20,HR@5,HR@50,NDCG@10,NDCG@20,NDCG@5,NDCG@50
BPRMF,Grocery_and_Gourmet_Food,0,default,dev,BPRMF__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__batch_size=256,log\BPRMF\BPRMF__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__batch_size=256.txt,batch_size=256;emb_size=64;l2=0;lr=0.001,0.2994,0.3921,0.2009,0.6299,0.1615,0.1849,0.1295,0.2313
BPRMF,Grocery_and_Gourmet_Food,0,default,test,BPRMF__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__batch_size=256,log\BPRMF\BPRMF__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__batch_size=256.txt,batch_size=256;emb_size=64;l2=0;lr=0.001,0.2819,0.3782,0.1774,0.6137,0.1404,0.1645,0.1064,0.2105
FuXiAlpha,Grocery_and_Gourmet_Food,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0,log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0.txt,attn_dropout=0.0;emb_size=64;ff_hidden_size=256;l2=0;lr=0.001;num_heads=4;num_layers=1;time_bucket_max=1000000;time_buckets=32,0.4364,0.5494,0.3122,0.744,0.25,0.2786,0.2097,0.317
FuXiAlpha,Grocery_and_Gourmet_Food,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0,log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0.txt,attn_dropout=0.0;emb_size=64;ff_hidden_size=256;l2=0;lr=0.001;num_heads=4;num_layers=1;time_bucket_max=1000000;time_buckets=32,0.3895,0.505,0.2712,0.7044,0.2179,0.2471,0.1797,0.2864
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time1_latent1_ssffn0_noams,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___6752b700c6,log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___6752b700c6.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.5016,0.6233,0.3923,0.8222,0.3118,0.3425,0.2765,0.3818
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,1,pos1_time1_latent1_ssffn0_noams,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___6752b700c6,log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__1__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___6752b700c6.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4568,0.579,0.346,0.7993,0.2714,0.3021,0.2355,0.3457
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time1_latent1_ssffn0_noams,dev,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___cfe6def2b2,log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___cfe6def2b2.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4942,0.6134,0.3878,0.8044,0.3092,0.3393,0.2747,0.377
FuXiAlpha,Grocery_and_Gourmet_Food_grocery_ep50_h50_abla,2,pos1_time1_latent1_ssffn0_noams,test,FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___cfe6def2b2,log\FuXiAlpha\FuXiAlpha__Grocery_and_Gourmet_Food_grocery_ep50_h50_abla__2__lr=0.001__l2=0.0__emb_size=64__num_layers=1__num_heads=4__fuxi_use_ams=0__fuxi_use_pos=1__fuxi_use_time=1___cfe6def2b2.txt,attn_dropout=0.0;emb_size=64;fuxi_single_stage_ffn=0;fuxi_use_ams=0;fuxi_use_latent=1;fuxi_use_pos=1;fuxi_use_time=1;l2=0.0;lr=0.001;num_heads=4;num_layers=1,0.4515,0.5728,0.3411,0.7745,0.2705,0.3011,0.2347,0.3409
FuXiAlpha,MovieLens_1M,0,pos1_time1_latent1_ssffn0,dev,FuXiAlpha__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0,log\FuXiAlpha\FuXiAlpha__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0.txt,attn_dropout=0.0;emb_size=64;ff_hidden_size=256;l2=0;lr=0.001;num_heads=4;num_layers=1;time_bucket_max=1000000;time_buckets=32,0.5507,0.7391,0.3702,0.943,0.3043,0.3518,0.2459,0.393
FuXiAlpha,MovieLens_1M,0,pos1_time1_latent1_ssffn0,test,FuXiAlpha__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0,log\FuXiAlpha\FuXiAlpha__MovieLens_1M__0__lr=0.001__l2=0__emb_size=64__num_layers=1__num_heads=4__time_buckets=32__time_bucket_max=1000000__ff_hidden_size=256__attn_dropout=0.0.txt,attn_dropout=0.0;emb_size=64;ff_hidden_size=256;l2=0;lr=0.001;num_heads=4;num_layers=1;time_bucket_max=1000000;time_buckets=32,0.5214,0.708,0.3552,0.9289,0.2892,0.3362,0.2355,0.3805
